x,ds2,ds4,ds5
1,5.408274095,5.548443125,5.41275536
2,11.64670888,11.66094832,11.87358038
4,15.76141307,16.03673513,16.26785983
8,18.1219675,16.77412859,19.00882827
16,20.11771973,16.5270972,19.97367931
32,22.66640129,16.65390002,22.60747641
64,26.8595176,15.25804571,25.97400802
128,36.01983304,14.5368867,32.57011104
256,53.0135683,15.73544769,42.75254487
512,87.76921423,15.3845125,57.52651846
1024,154.7765297,15.85531758,67.66958148
2048,282.2815298,16.10881375,69.90894235
4096,479.7015483,16.32730433,70.67949105
8192,722.5538479,16.42505606,69.4171845
