x,1,4,64,n16,n4,n
1,4.075922498,,,,,4.075922498
2,9.711778649,,,,,5.607902862
4,19.29431819,6.247239319,,,19.29431819,6.247239319
8,36.07036249,9.992750072,,,18.73370211,5.716667294
10,52.01704262,15.58012103,,,26.56658622,6.550179444
16,65.78900765,18.41197594,,65.78900765,18.41197594,5.397936057
25,102.4015554,30.12507618,,102.4015554,21.52315069,5.891654971
32,121.306893,33.94957242,,63.16387439,18.82410892,5.820566497
50,201.7340723,56.14785613,,72.3833825,23.06990975,6.758586877
64,237.66157,65.27209426,7.016579966,65.27209426,21.43968531,7.016579966
75,326.5102024,89.44600177,10.78809649,89.44600177,26.9818952,8.035769458
100,389.8740769,106.8589694,14.79860949,75.90890929,25.78516381,8.648598434
128,457.8004231,126.3555758,17.91833995,71.26419215,27.29364621,9.508436218
150,649.2410198,175.9265244,24.63671451,87.80908876,33.59821818,11.15271708
200,772.6816257,212.5020428,32.08836657,86.50099281,35.3839697,12.80569366
256,917.231793,251.213905,39.77542626,84.72380863,39.77542626,14.60358048
512,1876.995547,519.3056122,83.5923513,115.2910085,64.68881237,24.92535463
1024,3841.897798,1059.060823,174.5845242,174.5845242,115.141031,45.54492379
